02/11/2022 20:06:09.742807 ./pingserver:     C150DgmSocket::write: Success writing packet with len=54 |You said Eight. Don't you know how to play ping pong?.|
02/11/2022 20:06:12.670216 ./pingserver:     C150DgmSocket::read: successful read with len=5 |Nine.|
02/11/2022 20:06:12.670238 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 5 |Nine.|
02/11/2022 20:06:12.670258 ./pingserver:     Successfully read 5 bytes. Message="Nine"
02/11/2022 20:06:12.670279 ./pingserver:     Responding with message="You said Nine. Don't you know how to play ping pong?"
02/11/2022 20:06:12.670305 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=53 |You said Nine. Don't you know how to play ping pong?.|
02/11/2022 20:06:12.670364 ./pingserver:     C150DgmSocket::write: Success writing packet with len=53 |You said Nine. Don't you know how to play ping pong?.|
02/11/2022 20:06:15.253152 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Ten.|
02/11/2022 20:06:15.253173 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |Ten.|
02/11/2022 20:06:15.253193 ./pingserver:     Successfully read 4 bytes. Message="Ten"
02/11/2022 20:06:15.253214 ./pingserver:     Responding with message="You said Ten. Don't you know how to play ping pong?"
02/11/2022 20:06:15.253241 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Ten. Don't you know how to play ping pong?.|
02/11/2022 20:06:15.253313 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Ten. Don't you know how to play ping pong?.|
