02/11/2022 19:58:22.502118 ./pingserver:     Creating C150NastyDgmSocket(nastiness=2)
02/11/2022 19:58:22.504690 ./pingserver:     Ready to accept messages
02/11/2022 19:58:31.487082 ./pingserver:     C150DgmSocket::read: successful read with len=4 |One.|
02/11/2022 19:58:31.487106 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |One.|
02/11/2022 19:58:31.487125 ./pingserver:     Successfully read 4 bytes. Message="One"
02/11/2022 19:58:31.487159 ./pingserver:     Responding with message="You said One. Don't you know how to play ping pong?"
02/11/2022 19:58:31.487196 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said One. Don't you know how to play ping pong?.|
02/11/2022 19:58:31.487267 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said One. Don't you know how to play ping pong?.|
02/11/2022 19:58:32.964921 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Two.|
02/11/2022 19:58:32.965001 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 4 |Two.|
02/11/2022 19:58:35.964831 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Two.|
02/11/2022 19:58:35.964852 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |Two.|
02/11/2022 19:58:35.964872 ./pingserver:     Successfully read 4 bytes. Message="Two"
02/11/2022 19:58:35.964912 ./pingserver:     Responding with message="You said Two. Don't you know how to play ping pong?"
02/11/2022 19:58:35.964939 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 19:58:35.965004 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 19:58:35.965025 ./pingserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=4 |Two.|
02/11/2022 19:58:35.965045 ./pingserver:     Successfully read 4 bytes. Message="Two"
02/11/2022 19:58:35.965064 ./pingserver:     Responding with message="You said Two. Don't you know how to play ping pong?"
02/11/2022 19:58:35.965085 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 19:58:35.965112 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 19:58:35.965392 ./pingserver:     C150DgmSocket::read: successful read with len=6 |Three.|
